epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.9701,0.66801,0.66176,1,0.57421,0.000541044,0.000541044,0.000541044
2,34.4825,0.5521,0.60294,1,0.69123,0.00106052,0.00106052,0.00106052
3,57.7677,0.539,0.77941,1,0.58821,0.00154332,0.00154332,0.00154332
4,80.8922,0.44202,0.69118,1,0.64608,0.00150197,0.00150197,0.00150197
5,98.7567,0.37363,0.86765,1,0.39795,0.00144696,0.00144696,0.00144696
6,118.797,0.31152,0.88235,1,0.47311,0.00139195,0.00139195,0.00139195
7,140.464,0.37333,0.85294,1,0.38858,0.00133693,0.00133693,0.00133693
8,160.63,0.29803,0.88235,1,0.37865,0.00128192,0.00128192,0.00128192
9,184.755,0.28122,0.80882,1,0.54973,0.00122691,0.00122691,0.00122691
10,206.673,0.28704,0.82353,1,0.35081,0.0011719,0.0011719,0.0011719
11,227.823,0.26804,0.88235,1,0.29639,0.00111689,0.00111689,0.00111689
12,251.551,0.22693,0.85294,1,0.50705,0.00106188,0.00106188,0.00106188
13,273.135,0.24237,0.92647,1,0.2864,0.00100687,0.00100687,0.00100687
14,292.711,0.27562,0.91176,1,0.28689,0.000951857,0.000951857,0.000951857
15,312.128,0.2268,0.92647,1,0.1731,0.000896846,0.000896846,0.000896846
16,332.916,0.2037,0.88235,1,0.32305,0.000841835,0.000841835,0.000841835
17,353.815,0.15833,0.85294,1,0.27759,0.000786824,0.000786824,0.000786824
18,376.077,0.13257,0.91176,1,0.2157,0.000731813,0.000731813,0.000731813
19,395.386,0.11184,0.91176,1,0.25634,0.000676802,0.000676802,0.000676802
20,416.013,0.18014,0.88235,1,0.29508,0.000621791,0.000621791,0.000621791
21,438.683,0.13713,0.88235,1,0.31449,0.00056678,0.00056678,0.00056678
22,459.986,0.17232,0.86765,1,0.30804,0.000511769,0.000511769,0.000511769
23,482.445,0.16083,0.88235,1,0.41873,0.000456758,0.000456758,0.000456758
1,17.4303,0.66801,0.66176,1,0.57421,0.000541044,0.000541044,0.000541044
2,36.9575,0.5521,0.60294,1,0.69123,0.00106052,0.00106052,0.00106052
3,55.3105,0.539,0.77941,1,0.58821,0.00154332,0.00154332,0.00154332
4,75.1829,0.44202,0.69118,1,0.64608,0.00150197,0.00150197,0.00150197
5,93.5167,0.37363,0.86765,1,0.39795,0.00144696,0.00144696,0.00144696
6,113.358,0.31152,0.88235,1,0.47311,0.00139195,0.00139195,0.00139195
7,133.818,0.37333,0.85294,1,0.38858,0.00133693,0.00133693,0.00133693
8,153.879,0.29803,0.88235,1,0.37865,0.00128192,0.00128192,0.00128192
9,174.771,0.28122,0.80882,1,0.54973,0.00122691,0.00122691,0.00122691
10,192.687,0.28704,0.82353,1,0.35081,0.0011719,0.0011719,0.0011719
